timestamp,weekday,hour,direction,delay_minutes
2026-05-16T00:00:00+02:00,Sa,00,Praterstern,0.12
2026-05-16T00:29:00+02:00,Sa,00,Meidling,1.25
2026-05-16T00:15:00+02:00,Sa,00,Praterstern,0.00
2026-05-16T00:53:00+02:00,Sa,00,Meidling,0.00
2026-05-16T01:00:00+02:00,Sa,01,Praterstern,0.33
2026-05-16T01:12:00+02:00,Sa,01,Meidling,2.00
2026-05-16T01:20:00+02:00,Sa,01,Praterstern,0.00
2026-05-16T01:42:00+02:00,Sa,01,Meidling,1.00
2026-05-16T02:12:00+02:00,Sa,02,Meidling,0.00
2026-05-16T02:09:00+02:00,Sa,02,Praterstern,0.00
2026-05-16T02:42:00+02:00,Sa,02,Meidling,0.00
2026-05-16T03:12:00+02:00,Sa,03,Meidling,0.00
2026-05-16T03:42:00+02:00,Sa,03,Meidling,0.00
2026-05-16T04:29:00+02:00,Sa,04,Meidling,0.00
2026-05-16T04:42:00+02:00,Sa,04,Meidling,0.00
2026-05-16T04:57:00+02:00,Sa,04,Praterstern,2.00
2026-05-16T05:29:00+02:00,Sa,05,Meidling,3.00
2026-05-16T05:12:00+02:00,Sa,05,Praterstern,0.00
2026-05-16T05:59:00+02:00,Sa,05,Meidling,0.00
2026-05-16T06:00:00+02:00,Sa,06,Praterstern,0.67
2026-05-16T06:29:00+02:00,Sa,06,Meidling,0.00
2026-05-16T06:30:00+02:00,Sa,06,Praterstern,0.17
2026-05-16T06:59:00+02:00,Sa,06,Meidling,0.75
2026-05-16T07:00:00+02:00,Sa,07,Praterstern,0.00
2026-05-16T07:29:00+02:00,Sa,07,Meidling,0.50
2026-05-16T07:30:00+02:00,Sa,07,Praterstern,0.20
2026-05-16T07:59:00+02:00,Sa,07,Meidling,3.25
2026-05-16T08:00:00+02:00,Sa,08,Praterstern,0.33
2026-05-16T08:29:00+02:00,Sa,08,Meidling,1.33
2026-05-16T08:30:00+02:00,Sa,08,Praterstern,1.00
2026-05-16T08:59:00+02:00,Sa,08,Meidling,0.20
2026-05-16T09:00:00+02:00,Sa,09,Praterstern,3.00
2026-05-16T09:29:00+02:00,Sa,09,Meidling,0.00
2026-05-16T09:30:00+02:00,Sa,09,Praterstern,0.40
2026-05-16T09:59:00+02:00,Sa,09,Meidling,0.50
2026-05-16T10:00:00+02:00,Sa,10,Praterstern,0.67
2026-05-16T10:29:00+02:00,Sa,10,Meidling,0.33
2026-05-16T10:30:00+02:00,Sa,10,Praterstern,0.00
2026-05-16T10:42:00+02:00,Sa,10,Meidling,0.67
2026-05-16T11:00:00+02:00,Sa,11,Praterstern,0.33
2026-05-16T11:29:00+02:00,Sa,11,Meidling,2.00
2026-05-16T11:30:00+02:00,Sa,11,Praterstern,0.20
2026-05-16T11:59:00+02:00,Sa,11,Meidling,1.50
2026-05-16T12:00:00+02:00,Sa,12,Praterstern,1.33
2026-05-16T12:29:00+02:00,Sa,12,Meidling,0.00
2026-05-16T12:30:00+02:00,Sa,12,Praterstern,0.20
2026-05-16T12:59:00+02:00,Sa,12,Meidling,0.00
2026-05-16T13:00:00+02:00,Sa,13,Praterstern,1.00
2026-05-16T13:29:00+02:00,Sa,13,Meidling,0.67
2026-05-16T13:30:00+02:00,Sa,13,Praterstern,0.20
2026-05-16T13:59:00+02:00,Sa,13,Meidling,0.75
2026-05-16T14:00:00+02:00,Sa,14,Praterstern,1.00
2026-05-16T14:29:00+02:00,Sa,14,Meidling,0.33
2026-05-16T14:30:00+02:00,Sa,14,Praterstern,0.20
2026-05-16T14:59:00+02:00,Sa,14,Meidling,2.40
2026-05-16T15:00:00+02:00,Sa,15,Praterstern,0.00
2026-05-16T15:29:00+02:00,Sa,15,Meidling,0.33
2026-05-16T15:27:00+02:00,Sa,15,Praterstern,0.20
2026-05-16T15:59:00+02:00,Sa,15,Meidling,1.40
2026-05-16T16:00:00+02:00,Sa,16,Praterstern,4.00
2026-05-16T16:29:00+02:00,Sa,16,Meidling,0.33
2026-05-16T16:30:00+02:00,Sa,16,Praterstern,0.67
2026-05-16T16:59:00+02:00,Sa,16,Meidling,0.00
2026-05-16T17:00:00+02:00,Sa,17,Praterstern,10.67
2026-05-16T17:29:00+02:00,Sa,17,Meidling,0.00
2026-05-16T17:30:00+02:00,Sa,17,Praterstern,0.33
2026-05-16T17:59:00+02:00,Sa,17,Meidling,0.20
2026-05-16T18:00:00+02:00,Sa,18,Praterstern,1.00
2026-05-16T18:29:00+02:00,Sa,18,Meidling,0.00
2026-05-16T18:30:00+02:00,Sa,18,Praterstern,1.33
2026-05-16T18:59:00+02:00,Sa,18,Meidling,1.00
2026-05-16T19:00:00+02:00,Sa,19,Praterstern,1.00
2026-05-16T19:29:00+02:00,Sa,19,Meidling,1.00
2026-05-16T19:27:00+02:00,Sa,19,Praterstern,0.00
2026-05-16T19:59:00+02:00,Sa,19,Meidling,1.60
2026-05-16T20:00:00+02:00,Sa,20,Praterstern,7.75
2026-05-16T20:29:00+02:00,Sa,20,Meidling,0.50
2026-05-16T20:30:00+02:00,Sa,20,Praterstern,0.20
2026-05-16T20:59:00+02:00,Sa,20,Meidling,2.00
2026-05-16T20:57:00+02:00,Sa,20,Praterstern,0.00
2026-05-16T21:29:00+02:00,Sa,21,Meidling,2.00
2026-05-16T21:30:00+02:00,Sa,21,Praterstern,0.20
2026-05-16T21:59:00+02:00,Sa,21,Meidling,3.75
